category,jumsu,length
1,lower,12.6
1,lower,34.5
1,lower,21.9
1,lower,17.4
1,lower,19.2
1,lower,30
1,lower,33.6
1,lower,33.6
1,lower,15.6
1,lower,21
2,lower,45.6
2,lower,64.5
2,lower,52.8
2,lower,29.1
2,lower,43.5
2,lower,30
2,lower,24.6
2,lower,28.2
2,lower,49.5
2,lower,29.1
1,upper,49.5
1,upper,49.5
1,upper,45.6
1,upper,51.9
1,upper,67.5
1,upper,51.9
1,upper,40.8
1,upper,43.5
1,upper,56.4
1,upper,46.5
2,upper,59.1
2,upper,69.9
2,upper,70.8
2,upper,79.2
2,upper,60
2,upper,75.6
2,upper,77.4
2,upper,63.6
2,upper,43.5
2,upper,81.9
